index, elapse_time, susp_fl, susp_fr, susp_rl, susp_rr, acc_x, acc_y, acc_z, rot_x, rot_y, rot_z
81,12773,38.21893,46.54738,52.16781,27.43792,-0.47764,2.27689,9.75398,0.00906,0.07874,0.03291
82,12925,38.21893,46.59847,52.16781,27.48901,-0.45969,2.28646,9.71687,0.0048,0.07927,0.03264
83,13075,38.21893,46.59847,52.16781,27.43792,-0.44173,2.27569,9.75757,0.00946,0.07847,0.03304
84,13225,38.21893,46.59847,52.16781,27.48901,-0.43096,2.28886,9.81024,0.00946,0.07874,0.03251
85,13375,38.21893,46.59847,52.16781,27.43792,-0.41659,2.27808,9.73842,0.00959,0.07914,0.03264
86,13525,38.21893,46.59847,52.16781,27.43792,-0.43335,2.26013,9.78271,0.00973,0.07994,0.03317
87,13678,38.21893,46.59847,52.16781,27.43792,-0.45131,2.26132,9.73123,0.00759,0.07781,0.03397
88,13828,38.21893,46.59847,52.16781,27.43792,-0.43455,2.2709,9.73842,0.00893,0.07861,0.03211
89,13978,38.21893,46.59847,52.27,27.43792,-0.38547,2.2709,9.75877,0.00826,0.07861,0.03477
90,14128,38.21893,46.59847,52.16781,27.43792,-0.46328,2.29724,9.73602,0.00826,0.08021,0.03238
91,14278,38.21893,46.59847,52.16781,27.48901,-0.42258,2.27808,9.75158,0.00879,0.07914,0.03251
92,14431,38.21893,46.59847,52.16781,27.43792,-0.42737,2.26132,9.68933,0.00719,0.07741,0.03277
93,14581,38.21893,46.54738,52.16781,27.43792,-0.42856,2.27689,9.72525,0.00866,0.07927,0.03291
94,14731,38.21893,46.59847,52.16781,27.43792,-0.41779,2.30202,9.73482,0.00999,0.07821,0.03198
95,14881,38.21893,46.59847,52.16781,27.48901,-0.43574,2.28048,9.70609,0.00826,0.07887,0.03251
96,15031,38.21893,46.59847,52.16781,27.48901,-0.43455,2.27569,9.75757,0.00786,0.08007,0.03211
97,15184,38.21893,46.59847,52.16781,27.38682,-0.413,2.24935,9.74799,0.00759,0.07994,0.03331
98,15342,38.21893,46.59847,52.16781,27.43792,-0.43335,2.29245,9.73722,0.00959,0.07807,0.03224
99,15492,38.21893,46.59847,52.16781,27.18244,-0.42377,2.26013,9.7456,0.00799,0.0806,0.03451
100,15642,38.21893,46.59847,52.16781,27.43792,-0.42138,2.28407,9.73482,0.00773,0.07847,0.03397
101,15793,38.21893,46.59847,52.16781,27.43792,-0.46807,2.28886,9.75637,0.00759,0.07754,0.03198
102,15947,38.21893,46.59847,52.16781,27.43792,-0.46448,2.26611,9.73722,0.00933,0.081,0.03357
103,16098,38.21893,46.59847,52.16781,27.43792,-0.42737,2.26132,9.77792,0.00826,0.07927,0.03224
104,16249,38.21893,46.59847,52.16781,27.43792,-0.40462,2.3116,9.75757,0.00866,0.07807,0.03384
105,16400,38.21893,46.59847,52.16781,27.43792,-0.45011,2.25294,9.75398,0.00773,0.08007,0.03291
106,16554,38.21893,46.59847,52.16781,27.43792,-0.45011,2.20985,9.77074,0.00826,0.07887,0.03251
107,16705,38.21893,46.59847,52.16781,27.43792,-0.44652,2.25534,9.75877,0.00866,0.07887,0.03251
108,16856,38.21893,46.59847,52.16781,27.43792,-0.43934,2.28167,9.74919,0.00773,0.08074,0.03344
109,17007,38.21893,46.59847,52.16781,27.43792,-0.4525,2.26491,9.79827,0.00826,0.07954,0.03317
110,17158,38.21893,46.59847,52.16781,27.43792,-0.46328,2.28287,9.76116,0.01066,0.081,0.03291
111,17311,38.21893,46.59847,52.16781,27.43792,-0.4549,2.29245,9.77313,0.00933,0.07941,0.03397
112,17462,38.21893,46.59847,52.16781,27.43792,-0.44053,2.26252,9.76116,0.00706,0.07954,0.03384
113,17613,38.21893,46.59847,52.16781,27.43792,-0.45131,2.28886,9.70849,0.00986,0.07901,0.03198
114,17764,38.21893,46.59847,52.16781,27.43792,-0.44053,2.25294,9.75278,0.00719,0.07967,0.03304
115,17915,38.21893,46.59847,52.16781,27.43792,-0.4549,2.27569,9.7025,0.00946,0.07847,0.03331
116,18078,38.21893,46.59847,52.21891,27.43792,-0.41659,2.26372,9.79827,0.00733,0.07901,0.03331
117,18229,38.21893,46.59847,52.16781,27.48901,-0.43694,2.26731,9.74679,0.00986,0.07754,0.03251
118,18380,38.21893,46.59847,52.16781,27.43792,-0.4525,2.26851,9.75039,0.00866,0.07927,0.03371
